t,phi_mean,phi_var,phi_max,phi_min,saturation_frac,plastic_frac,crystallized_frac,config_flux_mean,rotation_mean,torsion_rms,coherence_C,exchange_X,dCdX,local_coherence_mean,drive_S,drive_D,drive_F,drive_TH,drive_B,drive_E,drive_IBT,drive_ZBT
149,0.5259364542299163,0.004308075873816772,0.7338142761648335,0.13212710467245808,0.0,0.244873046875,0.0,0.00980030127993858,0.010893273791776743,0.11474204633331345,0.04697482198210628,638.6032220361724,-1.2824116163542687e-05,0.854370211574192,0.1322422241785896,0.1468802426170116,0.003979056329493169,9.512108560265597e-05,0.0,0.02043809815178869,0.007731311120643603,0.0070773307704964546
150,0.5250083166266077,0.004282093768302992,0.7402372589637959,0.13530183500978782,0.0,0.2470703125,0.0,0.009803000621142184,0.010893199927602338,0.11469450719683986,0.046985253633293866,634.9024228548599,-2.8187563486999525e-06,0.8545106049178102,0.13204096039345825,0.14726220718437658,0.003999780494745994,9.331899970216667e-05,0.0,0.02054468444231293,0.0077471735126152024,0.007055229299191551
151,0.5255078997739294,0.004195233069394906,0.730156201676663,0.14640668344733654,0.0,0.2451171875,0.0,0.009806690027672746,0.010892086590292577,0.11499994588820289,0.04702675144450292,635.612215750181,5.846467537587572e-05,0.8546462686949787,0.13225513977899442,0.14700232865545018,0.003977990341192364,8.854471573866618e-05,0.0,0.020338494878514198,0.007731887639471711,0.007067297383170499
152,0.5268683955719861,0.004205019054305266,0.7373771526801973,0.1516300292200785,0.0,0.248291015625,0.0,0.00980819997294374,0.010888067230819401,0.11527684763333959,0.04714978350713046,632.233533809926,-3.641421856307057e-05,0.8548063592290946,0.13193267725247607,0.14714221193670027,0.004028473632097073,8.742400731202556e-05,0.0,0.020471408923978272,0.007736950895491103,0.007058162772575605
153,0.5269156740330274,0.0042094929623625365,0.7235893466076556,0.1417905678890757,0.0,0.251953125,0.0,0.009803154104632925,0.010879168310729213,0.1155377107614426,0.04715617701162661,628.5285236405362,-1.7256375026898953e-06,0.8548987929611059,0.13150874833376033,0.14752315076015612,0.004079592193617001,9.371073416319123e-05,0.0,0.020742612079013213,0.007758733673029136,0.0070390630328465405
154,0.5270910580771508,0.0042585474504038155,0.7312227714407857,0.11466383570644098,0.0,0.25537109375,0.0,0.009800968933427785,0.010885596872015115,0.11588299651649477,0.047119409237612736,626.8647853188895,2.209949337314303e-05,0.8550455622552863,0.1311528199966917,0.1475363887292477,0.004108805837684424,9.676171007324847e-05,0.0,0.020937276789653413,0.007760336993744014,0.007037546110582894
155,0.525649779872478,0.004241656391267998,0.7254690405402516,0.12012335523575299,0.0,0.258544921875,0.0,0.009798399109468038,0.010877584998011301,0.11581790778182455,0.04709334101141006,627.9542601151736,-2.3927332960423186e-05,0.8550802807975892,0.13077500484866836,0.14758549626160225,0.004122926395931522,9.964291721414748e-05,0.0,0.021095282468931956,0.007764524762294609,0.007037086019446907
156,0.526529043634208,0.004253622915490539,0.6975152893377313,0.12209432129873561,0.0,0.2568359375,0.0,0.009800929316443599,0.010871904961245609,0.11578098026468076,0.047242864437538654,629.1496548305888,0.00012508289036283827,0.8551628788280972,0.13101433354215092,0.14718193836429388,0.004099432975776033,9.631948614243358e-05,0.0,0.020966236968768162,0.0077424700891430935,0.0070540266167990594
157,0.5271359889728451,0.004354854667493552,0.7206287199156671,0.12175398600867383,0.0,0.2587890625,0.0,0.009796561372917094,0.01086354179185467,0.11596368913441653,0.046990895401220464,632.5662237961861,-7.374914390880364e-05,0.8553074566888634,0.13075847624764514,0.14742813221757828,0.004111115992231987,9.903305935943176e-05,0.0,0.021074817089682833,0.007755674409744035,0.007043924405953427
158,0.5274909432786548,0.004269482946590644,0.7008732020366075,0.12209756136149152,0.0,0.265625,0.0,0.00979446974086342,0.010862016211453534,0.11586438329147254,0.046803346541491375,629.3552791196953,5.840924669373519e-05,0.8553861373209645,0.12994276103468205,0.14759807691239663,0.004166374859694883,0.00010418960602598669,0.0,0.021434270527730562,0.007767895360058414,0.007038651939407234
159,0.5263221367014856,0.004160701369895787,0.7000613411106675,0.10963480766406057,0.0,0.266357421875,0.0,0.009800796893226452,0.010866008241895812,0.1157529595071736,0.04689826463897084,635.1294684516529,1.643834173467982e-05,0.8555000028450244,0.12988104060589628,0.1476974641180233,0.004155764330136542,0.00010174248375993775,0.0,0.02145286947506928,0.007770536842438898,0.00703209069065072
